time(s),theta_a,theta_g,theta_f
0.000000,0.000000,0.000000,0.000000
0.100000,-0.047290,-0.000901,-0.048192
0.200000,-0.093150,0.000530,-0.092621
0.300000,-0.126524,-0.000945,-0.127469
0.400000,-0.158473,-0.004821,-0.163294
0.500000,-0.184610,-0.007563,-0.192173
0.600000,-0.210052,-0.006730,-0.216782
0.700000,-0.227391,-0.001032,-0.228423
0.800000,-0.242039,0.000123,-0.241915
0.900000,-0.254983,0.004617,-0.250366
1.000000,-0.264273,0.006598,-0.257674
1.100000,-0.272168,0.008960,-0.263207
1.200000,-0.277814,0.012931,-0.264883
1.300000,-0.280935,0.016235,-0.264701
1.400000,-0.282641,0.019550,-0.263091
1.500000,-0.283237,0.024188,-0.259049
1.600000,-0.281748,0.028791,-0.252957
1.700000,-0.278153,0.032348,-0.245804
1.800000,-0.274021,0.032912,-0.241110
1.900000,-0.269826,0.032092,-0.237733
2.000000,-0.265567,0.032071,-0.233496
2.100000,-0.260887,0.031471,-0.229416
2.200000,-0.255530,0.031368,-0.224162
2.300000,-0.250677,0.029475,-0.221201
2.400000,-0.245810,0.026956,-0.218854
2.500000,-0.241814,0.026384,-0.215430
2.600000,-0.237016,0.027045,-0.209971
2.700000,-0.232118,0.028933,-0.203185
2.800000,-0.225806,0.029103,-0.196703
2.900000,-0.220622,0.027830,-0.192792
3.000000,-0.215473,0.026385,-0.189088
3.100000,-0.210790,0.026214,-0.184576
3.200000,-0.206292,0.028273,-0.178019
3.300000,-0.199672,0.030745,-0.168927
3.400000,-0.193494,0.032004,-0.161490
3.500000,-0.187251,0.033295,-0.153955
3.600000,-0.179705,0.034466,-0.145239
3.700000,-0.172563,0.033658,-0.138905
3.800000,-0.165758,0.030963,-0.134795
3.900000,-0.160400,0.029292,-0.131108
4.000000,-0.153811,0.027455,-0.126356
4.100000,-0.148895,0.024585,-0.124310
4.200000,-0.143922,0.022718,-0.121204
4.300000,-0.139717,0.022683,-0.117034
4.400000,-0.135340,0.022793,-0.112547
4.500000,-0.130580,0.024340,-0.106239
4.600000,-0.125302,0.025598,-0.099704
4.700000,-0.119862,0.025479,-0.094383
4.800000,-0.115131,0.025573,-0.089559
4.900000,-0.109196,0.025617,-0.083579
5.000000,-0.104011,0.024839,-0.079172
5.100000,-0.099652,0.024414,-0.075239
5.200000,-0.094199,0.025886,-0.068313
5.300000,-0.088474,0.026446,-0.062027
5.400000,-0.082328,0.024479,-0.057849
5.500000,-0.078141,0.022961,-0.055181
5.600000,-0.073341,0.023141,-0.050201
5.700000,-0.068703,0.023297,-0.045406
5.800000,-0.064190,0.023920,-0.040270
5.900000,-0.058810,0.025032,-0.033778
6.000000,-0.053868,0.026331,-0.027536
6.100000,-0.048258,0.028406,-0.019852
6.200000,-0.042144,0.029786,-0.012357
6.300000,-0.035106,0.028729,-0.006378
6.400000,-0.029360,0.026149,-0.003211
6.500000,-0.024271,0.023448,-0.000823
6.600000,-0.020113,0.022051,0.001938
6.700000,-0.015503,0.021853,0.006350
6.800000,-0.010859,0.022689,0.011829
6.900000,-0.005765,0.022208,0.016443
7.000000,-0.001455,0.021078,0.019623
7.100000,0.002342,0.020953,0.023294
7.200000,0.007217,0.022725,0.029943
7.300000,0.012246,0.023658,0.035903
7.400000,0.016785,0.023473,0.040258
7.500000,0.021952,0.024112,0.046064
7.600000,0.026788,0.024696,0.051484
7.700000,0.032243,0.024606,0.056848
7.800000,0.036893,0.025585,0.062479
7.900000,0.041863,0.027498,0.069361
8.000000,0.048590,0.028083,0.076673
8.100000,0.053958,0.027954,0.081912
8.200000,0.059493,0.028830,0.088324
8.300000,0.066129,0.029940,0.096070
8.400000,0.072282,0.029917,0.102199
8.500000,0.078257,0.028694,0.106950
8.600000,0.083383,0.028418,0.111801
8.700000,0.089620,0.028576,0.118196
8.800000,0.095216,0.028749,0.123964
8.900000,0.101162,0.027663,0.128825
9.000000,0.107228,0.024893,0.132120
9.100000,0.111452,0.023491,0.134943
9.200000,0.116548,0.022622,0.139170
9.300000,0.121495,0.020772,0.142267
9.400000,0.125104,0.016445,0.141549
9.500000,0.127954,0.012402,0.140356
9.600000,0.129760,0.011210,0.140971
9.700000,0.132612,0.008994,0.141606
9.800000,0.134462,0.004925,0.139388
9.900000,0.135186,0.000259,0.135445
10.000000,0.135382,-0.003065,0.132317
10.100000,0.134629,-0.007278,0.127351
10.200000,0.132854,-0.011171,0.121683
10.300000,0.130775,-0.015567,0.115208
10.400000,0.126918,-0.021455,0.105464
10.500000,0.122482,-0.025171,0.097311
10.600000,0.116840,-0.027881,0.088959
10.700000,0.111220,-0.028313,0.082906
10.800000,0.106169,-0.027411,0.078759
10.900000,0.101510,-0.028098,0.073412
11.000000,0.095706,-0.028795,0.066911
11.100000,0.090317,-0.029908,0.060409
11.200000,0.085041,-0.030306,0.054735
11.300000,0.079017,-0.031293,0.047724
11.400000,0.073015,-0.030789,0.042226
11.500000,0.066985,-0.029596,0.037389
11.600000,0.061700,-0.029512,0.032188
11.700000,0.055783,-0.028170,0.027613
11.800000,0.050969,-0.026935,0.024034
11.900000,0.045762,-0.024992,0.020770
12.000000,0.041890,-0.022894,0.018996
12.100000,0.037409,-0.021478,0.015931
12.200000,0.034884,-0.021489,0.013395
12.300000,0.030558,-0.024787,0.005771
12.400000,0.025921,-0.028038,-0.002118
12.500000,0.019712,-0.029066,-0.009354
12.600000,0.014531,-0.027449,-0.012918
12.700000,0.009689,-0.027187,-0.017498
12.800000,0.004690,-0.028509,-0.023820
12.900000,-0.000601,-0.029962,-0.030563
13.000000,-0.007138,-0.030430,-0.037568
13.100000,-0.012697,-0.029508,-0.042205
13.200000,-0.018503,-0.028681,-0.047183
13.300000,-0.023533,-0.029282,-0.052816
13.400000,-0.029610,-0.029485,-0.059095
13.500000,-0.034798,-0.029243,-0.064040
13.600000,-0.040717,-0.029120,-0.069837
13.700000,-0.045963,-0.028374,-0.074337
13.800000,-0.051138,-0.028402,-0.079540
13.900000,-0.055888,-0.030581,-0.086468
14.000000,-0.061859,-0.034161,-0.096020
14.100000,-0.070032,-0.035531,-0.105563
14.200000,-0.076296,-0.033733,-0.110029
14.300000,-0.082399,-0.033669,-0.116068
14.400000,-0.088299,-0.035288,-0.123587
14.500000,-0.096396,-0.036256,-0.132652
14.600000,-0.103205,-0.032661,-0.135867
14.700000,-0.108979,-0.028557,-0.137536
14.800000,-0.113696,-0.026287,-0.139983
14.900000,-0.117796,-0.024872,-0.142668
15.000000,-0.122296,-0.023256,-0.145552
15.100000,-0.125983,-0.022696,-0.148679
15.200000,-0.130890,-0.022961,-0.153851
15.300000,-0.134859,-0.023116,-0.157975
15.400000,-0.139402,-0.023404,-0.162806
15.500000,-0.143771,-0.022947,-0.166719
15.600000,-0.148098,-0.022764,-0.170861
15.700000,-0.152521,-0.023720,-0.176241
15.800000,-0.157141,-0.024919,-0.182060
15.900000,-0.162139,-0.025181,-0.187320
16.000000,-0.166424,-0.023837,-0.190261
16.100000,-0.170687,-0.022430,-0.193117
16.200001,-0.174083,-0.021715,-0.195798
16.299999,-0.178390,-0.022621,-0.201010
16.400000,-0.182541,-0.023619,-0.206161
16.500000,-0.187634,-0.023291,-0.210925
16.600000,-0.191394,-0.022620,-0.214014
16.700001,-0.195141,-0.023157,-0.218298
16.799999,-0.199787,-0.025424,-0.225211
16.900000,-0.205007,-0.026443,-0.231450
17.000000,-0.210181,-0.026966,-0.237147
17.100000,-0.215159,-0.026621,-0.241779
17.200001,-0.220105,-0.028396,-0.248501
17.299999,-0.225411,-0.030798,-0.256209
17.400000,-0.232275,-0.032314,-0.264589
17.500000,-0.238145,-0.032214,-0.270358
17.600000,-0.244015,-0.031824,-0.275839
17.700001,-0.250460,-0.032272,-0.282732
17.799999,-0.256468,-0.032854,-0.289321
17.900000,-0.263512,-0.031529,-0.295041
18.000000,-0.268839,-0.029449,-0.298288
18.100000,-0.274577,-0.027337,-0.301914
18.200001,-0.278857,-0.026461,-0.305318
18.299999,-0.284088,-0.026126,-0.310214
18.400000,-0.288576,-0.025818,-0.314393
18.500000,-0.294293,-0.025634,-0.319927
18.600000,-0.298976,-0.024261,-0.323237
18.700001,-0.303853,-0.021544,-0.325397
18.799999,-0.306651,-0.021110,-0.327761
18.900000,-0.310982,-0.022597,-0.333579
19.000000,-0.315325,-0.023462,-0.338786
19.100000,-0.319620,-0.023342,-0.342962
19.200001,-0.324741,-0.022446,-0.347187
19.299999,-0.328338,-0.021226,-0.349563
19.400000,-0.332303,-0.019525,-0.351828
19.500000,-0.335625,-0.019212,-0.354838
19.600000,-0.339434,-0.019350,-0.358784
19.700001,-0.343002,-0.020154,-0.363156
19.799999,-0.346785,-0.019760,-0.366545
19.900000,-0.350264,-0.020168,-0.370432
20.000000,-0.353968,-0.021046,-0.375015
20.100000,-0.358241,-0.021771,-0.380012
20.200001,-0.361811,-0.022908,-0.384719
20.299999,-0.366876,-0.024821,-0.391697
20.400000,-0.371818,-0.024828,-0.396647
20.500000,-0.376280,-0.023153,-0.399434
20.600000,-0.380307,-0.024836,-0.405143
20.700001,-0.385759,-0.028594,-0.414353
20.799999,-0.391430,-0.031498,-0.422928
20.900000,-0.398771,-0.032992,-0.431764
21.000000,-0.405262,-0.032272,-0.437534
21.100000,-0.411448,-0.030154,-0.441602
21.200001,-0.416336,-0.028738,-0.445074
21.299999,-0.421645,-0.028295,-0.449939
21.400000,-0.427278,-0.027155,-0.454434
21.500000,-0.431871,-0.027913,-0.459784
21.600000,-0.437645,-0.029868,-0.467513
21.700001,-0.443238,-0.031783,-0.475020
21.799999,-0.450652,-0.032230,-0.482883
21.900000,-0.457041,-0.029365,-0.486406
22.000000,-0.461972,-0.025773,-0.487745
22.100000,-0.466517,-0.025029,-0.491546
22.200001,-0.470821,-0.024539,-0.495359
22.299999,-0.475676,-0.024427,-0.500102
22.400000,-0.479904,-0.025512,-0.505416
22.500000,-0.485659,-0.026640,-0.512299
22.600000,-0.490962,-0.027334,-0.518295
22.700001,-0.496510,-0.027497,-0.524007
22.799999,-0.501543,-0.027862,-0.529405
22.900000,-0.507435,-0.028929,-0.536364
23.000000,-0.513112,-0.028922,-0.542034
23.100000,-0.519056,-0.028619,-0.547675
23.200001,-0.524627,-0.028691,-0.553318
23.299999,-0.529897,-0.028863,-0.558760
23.400000,-0.535037,-0.030590,-0.565627
23.500000,-0.540807,-0.032242,-0.573049
23.600000,-0.548217,-0.032828,-0.581045
23.700001,-0.554926,-0.029837,-0.584763
23.799999,-0.559662,-0.025688,-0.585349
23.900000,-0.563751,-0.026437,-0.590188
24.000000,-0.570060,-0.027723,-0.597783
24.100000,-0.575430,-0.026726,-0.602156
24.200001,-0.579627,-0.027416,-0.607043
24.299999,-0.585969,-0.028529,-0.614498
24.400000,-0.591742,-0.025686,-0.617428
24.500000,-0.595744,-0.021500,-0.617243
24.600000,-0.599175,-0.021402,-0.620577
24.700001,-0.604251,-0.020901,-0.625152
24.799999,-0.608097,-0.016557,-0.624655
24.900000,-0.609664,-0.014962,-0.624626
25.000000,-0.612558,-0.014276,-0.626834
25.100000,-0.614899,-0.016652,-0.631551
25.200001,-0.620656,-0.011278,-0.631935
25.299999,-0.619940,-0.007984,-0.627924
25.400000,-0.621422,-0.009924,-0.631346
25.500000,-0.624199,-0.010235,-0.634434
25.600000,-0.625737,-0.008719,-0.634455
25.700001,-0.627500,-0.009121,-0.636621
25.799999,-0.630251,-0.005148,-0.635399
25.900000,-0.630271,0.001577,-0.628695
26.000000,-0.627969,0.003642,-0.624327
26.100000,-0.626880,-0.001764,-0.628644
26.200001,-0.628301,-0.005151,-0.633452
